Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/oesterreich/irrsee/,35.0,ha,,,,,47.9433,13.4156
https://www.wassertemperatur.org/iseosee/,65.3,km²,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/itzstedter-see/,13.6,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/kaarster-see/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/kahler-see/,,,,,,,,
https://www.wassertemperatur.org/kalterer-see/#AktuelleWassertemperatur,1.47,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/karlsfelder-see/,,,,,,,,
https://www.wassertemperatur.org/seen/schweiz/katzensee/,36.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/keutschacher-see/,1.32,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/kirchsee/,0.42,km²,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/kirnbergsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/klausensee/,0.35,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/kleiner-alpsee/,9.19,ha,,,,,,
https://www.wassertemperatur.org/kleiner-brombachsee/,2.5,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/kleinsee/,9.0,ha,,,,,,
https://www.wassertemperatur.org/klopeiner-see/,,,,,,,,
https://www.wassertemperatur.org/seen/schweiz/kloentalersee/,3.3,km²,,,,,,
https://www.wassertemperatur.org/kochelsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/krauchenwieser-see/,,,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/kressbachsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/kuhsee/,19.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/koenigseggsee/,15.6,ha,,,,,,
https://www.wassertemperatur.org/koenigssee/,5.22,km²,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/kuechensee/,180.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/langbathsee/,33.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/langener-waldsee/,,,,,,,50.0435,8.6302
https://www.wassertemperatur.org/lago-maggiore/,212.5,km²,,,,,47.8117,10.9677
https://www.wassertemperatur.org/deutschland/bayern/langwieder-see/,18.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/lauerzersee/,3.1,km²,,,,,,
https://www.wassertemperatur.org/ledrosee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/leitgeringer-see/,15.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/linsendorfer-see/,3.0,ha,,,,,,
https://www.wassertemperatur.org/luganer-see/,48.8,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/lungerersee/,2.01,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/lusssee/,1.6,km²,,,,,,
https://www.wassertemperatur.org/oesterreich/laengsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/loedensee/,10.22,ha,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/luetauer-see/,41.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/luetzelsee/,13.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/maltschacher-see/,12.9,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/mattsee/,3.6,km²,,,,,,
https://www.wassertemperatur.org/deutschland/hessen/meinhardsee/,30.0,ha,,,,,,
https://www.wassertemperatur.org/millstaetter-see/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/mittersee/,14.28,ha,,,,,,
https://www.wassertemperatur.org/mondsee/,13.78,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/moossee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/murner-see/,94.0,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/murtensee/,22.8,km²,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/moehnesee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/neubaeuer-see/,56.0,ha,,,,,,
